DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Thursday,April,0.0,10.0,9.0,0.0,8.0,19.0,1.0,13.0,36.0
Friday,April,0.0,11.0,7.0,0.0,10.0,9.0,2.0,27.0,29.0
Saturday,April,0.0,10.0,5.0,0.0,7.0,15.0,1.0,18.0,25.0
Sunday,April,0.0,2.0,3.0,0.0,7.0,6.0,1.0,34.0,16.0
Monday,April,0.0,2.0,6.0,0.0,6.0,8.0,0.0,20.0,25.0
Tuesday,April,0.0,8.0,11.0,1.0,7.0,8.0,0.0,17.0,24.0
Wednesday,April,0.0,9.0,10.0,0.0,12.0,6.0,1.0,25.0,28.0
Thursday,April,1.0,7.0,11.0,0.0,8.0,8.0,0.0,13.0,16.0
Friday,April,0.0,6.0,5.0,0.0,12.0,11.0,1.0,10.0,23.0
Saturday,April,0.0,7.0,6.0,1.0,11.0,11.0,0.0,24.0,20.0
Sunday,April,1.0,10.0,6.0,1.0,9.0,10.0,0.0,20.0,14.0
Monday,April,0.0,2.0,13.0,0.0,10.0,6.0,0.0,20.0,22.0
Tuesday,April,0.0,5.0,9.0,0.0,3.0,6.0,0.0,34.0,19.0
Wednesday,April,0.0,3.0,7.0,1.0,8.0,15.0,1.0,18.0,23.0
Thursday,April,0.0,6.0,11.0,0.0,9.0,15.0,0.0,28.0,21.0
Friday,April,0.0,11.0,16.0,0.0,13.0,9.0,1.0,32.0,32.0
Saturday,April,0.0,12.0,12.0,0.0,16.0,13.0,3.0,37.0,27.0
Sunday,April,1.0,8.0,3.0,0.0,5.0,12.0,1.0,43.0,26.0
Monday,April,0.0,8.0,11.0,0.0,12.0,4.0,0.0,29.0,20.0
Tuesday,April,0.0,9.0,11.0,0.0,7.0,9.0,0.0,21.0,22.0
Wednesday,April,0.0,6.0,6.0,0.0,12.0,12.0,1.0,22.0,25.0
Thursday,April,0.0,7.0,13.0,0.0,9.0,12.0,0.0,26.0,40.0
Friday,April,0.0,11.0,12.0,0.0,19.0,15.0,0.0,19.0,23.0
Saturday,April,0.0,4.0,9.0,0.0,15.0,8.0,0.0,32.0,9.0
Sunday,April,0.0,8.0,5.0,0.0,11.0,6.0,0.0,15.0,11.0
Monday,April,0.0,6.0,9.0,0.0,8.0,14.0,1.0,32.0,22.0
Tuesday,April,1.0,6.0,18.0,0.0,7.0,7.0,0.0,27.0,35.0
Wednesday,April,0.0,13.0,13.0,0.0,8.0,11.0,0.0,23.0,26.0
Thursday,April,0.0,3.0,13.0,0.0,9.0,6.0,0.0,41.0,33.0
