date,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-02-06,Saturday,February,0.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-07,Sunday,February,0.0,2.0,4.0,0.0,4.0,4.0,0.0,5.0,8.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-08,Monday,February,0.0,6.0,2.0,0.0,3.0,3.0,0.0,5.0,10.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-09,Tuesday,February,0.0,10.0,5.0,0.0,5.0,7.0,0.0,10.0,8.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-10,Wednesday,February,0.0,1.0,4.0,0.0,4.0,3.0,0.0,4.0,4.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-11,Thursday,February,0.0,6.0,0.0,0.0,5.0,2.0,0.0,7.0,9.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-12,Friday,February,0.0,8.0,4.0,1.0,13.0,6.0,0.0,9.0,13.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-13,Saturday,February,0.0,8.0,5.0,0.0,12.0,5.0,0.0,13.0,17.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-14,Sunday,February,0.0,11.0,6.0,0.0,7.0,9.0,1.0,11.0,10.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-15,Monday,February,0.0,6.0,4.0,1.0,9.0,7.0,0.0,16.0,6.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
