Area,Year,Month,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,1.0,"2,451,594","2,321,969","129,625",5.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,2.0,"2,457,504","2,324,433","133,071",5.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,3.0,"2,462,253","2,328,666","133,587",5.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,4.0,"2,465,970","2,334,190","131,780",5.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,5.0,"2,468,271","2,336,674","131,597",5.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,6.0,"2,469,278","2,337,700","131,578",5.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,7.0,"2,466,195","2,337,137","129,058",5.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,8.0,"2,460,684","2,333,922","126,762",5.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,9.0,"2,455,968","2,329,778","126,190",5.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,10.0,"2,453,525","2,327,955","125,570",5.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,11.0,"2,454,564","2,330,041","124,523",5.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1992.0,12.0,"2,454,345","2,331,336","123,009",5.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,1.0,"2,451,480","2,329,927","121,553",5.0,11.0,47900.0
